Data Index	Xground	Yground	Zground	Xoff	Yoff	Zoff	Xon	Yon	Zon
10.1075836	2.20E-12	1.80E-12	2.21E-13	4.93E-13	3.01E-13	3.59E-13	1.05E-14	2.54E-15	1.37E-15
10.18082696	2.25E-12	8.96E-13	2.26E-13	1.09E-12	4.03E-13	1.75E-12	1.16E-14	4.36E-15	2.16E-15
10.25407032	1.48E-12	9.54E-13	1.76E-13	1.50E-12	3.97E-13	2.20E-12	7.88E-15	2.38E-15	2.73E-15
10.32731367	1.43E-12	1.83E-12	2.11E-13	6.76E-13	9.90E-13	2.83E-13	4.25E-15	2.97E-15	3.15E-15
10.40055703	2.36E-12	1.69E-12	1.63E-13	3.72E-13	1.07E-12	2.39E-13	4.78E-15	2.99E-15	1.73E-15
10.47380039	3.20E-12	1.58E-12	1.47E-13	3.15E-13	7.19E-13	2.51E-13	6.59E-15	3.10E-15	1.87E-15
10.54704375	2.54E-12	1.31E-12	1.84E-13	4.65E-13	7.30E-13	1.84E-13	7.40E-15	4.52E-15	1.33E-15
10.62028711	1.41E-12	1.43E-12	1.18E-13	3.00E-13	5.19E-13	1.94E-13	9.69E-15	3.65E-15	2.09E-15
10.69353047	3.65E-12	2.40E-12	1.73E-13	2.44E-13	6.14E-13	4.43E-13	9.73E-15	6.42E-15	3.03E-15
10.76677383	3.68E-12	1.12E-12	2.11E-13	2.53E-13	1.19E-12	6.99E-13	9.04E-15	7.87E-15	2.80E-15
10.84001719	2.55E-12	1.21E-12	2.49E-13	3.77E-13	5.99E-13	3.41E-13	9.62E-15	4.98E-15	3.36E-15
10.91326055	2.37E-12	1.06E-12	3.66E-13	5.58E-13	6.39E-13	2.24E-13	8.81E-15	1.99E-15	2.69E-15
10.98650391	4.63E-12	1.46E-12	4.14E-13	3.25E-13	1.02E-12	2.56E-13	8.24E-15	2.07E-15	1.91E-15
11.05974727	4.92E-12	1.31E-12	3.32E-13	3.02E-13	6.37E-13	1.94E-13	8.74E-15	4.31E-15	1.65E-15
11.13299063	3.90E-12	2.27E-12	3.66E-13	3.75E-13	1.03E-12	2.10E-13	9.20E-15	4.33E-15	1.90E-15
11.20623399	4.80E-12	4.45E-12	5.31E-13	2.07E-13	9.94E-13	2.72E-13	7.72E-15	5.07E-15	2.93E-15
11.27947735	7.07E-12	3.66E-12	7.01E-13	1.21E-13	8.01E-13	4.30E-13	7.45E-15	4.08E-15	2.89E-15
11.35272071	7.54E-12	3.97E-12	8.15E-13	1.44E-13	5.69E-13	4.10E-13	7.68E-15	4.08E-15	2.14E-15
11.42596407	6.07E-12	2.85E-12	1.07E-12	2.10E-13	7.30E-13	4.93E-13	7.77E-15	4.18E-15	4.20E-15
11.49920742	5.30E-12	1.18E-12	7.09E-13	1.69E-13	3.49E-13	3.02E-13	7.04E-15	3.26E-15	4.20E-15
11.57245078	3.25E-12	7.71E-13	4.87E-13	8.64E-14	4.50E-13	2.03E-13	8.37E-15	1.49E-15	3.28E-15
11.64569414	4.44E-12	4.32E-13	4.64E-13	7.15E-14	4.61E-13	1.75E-13	3.09E-15	2.07E-15	3.83E-15
11.7189375	6.76E-12	6.47E-13	4.00E-13	8.05E-14	4.14E-13	1.43E-13	5.61E-15	3.17E-15	3.72E-15
11.79218086	1.08E-11	8.91E-13	2.34E-13	4.55E-14	3.78E-13	1.30E-13	5.61E-15	2.46E-15	2.95E-15
11.86542422	8.58E-12	1.04E-12	1.56E-13	4.64E-14	2.77E-13	1.69E-13	4.13E-15	2.72E-15	4.10E-15
11.93866758	6.66E-12	1.66E-12	1.38E-13	5.81E-14	2.04E-13	1.61E-13	4.24E-15	2.80E-15	5.16E-15
12.01191094	5.93E-12	1.44E-12	1.20E-13	4.97E-14	2.32E-13	1.48E-13	5.22E-15	3.09E-15	5.44E-15
12.0851543	8.12E-12	5.43E-13	2.27E-13	5.39E-14	2.74E-13	2.67E-13	7.03E-15	4.31E-15	8.29E-15
12.15839766	7.28E-12	8.50E-13	3.78E-13	9.76E-14	3.45E-13	5.52E-13	1.60E-14	4.43E-15	8.06E-15
12.23164102	1.05E-11	8.46E-13	3.59E-13	1.00E-13	3.42E-13	8.29E-13	2.03E-14	2.77E-15	7.97E-15
12.30488438	6.66E-12	7.71E-13	1.25E-13	5.36E-14	1.89E-13	4.45E-13	1.27E-14	2.48E-15	1.08E-14
12.37812774	8.54E-12	1.04E-12	1.08E-13	5.51E-14	1.99E-13	3.89E-13	9.89E-15	3.20E-15	1.05E-14
12.4513711	8.15E-12	1.24E-12	4.60E-13	4.89E-14	1.35E-13	6.56E-13	1.25E-14	2.60E-15	7.01E-15
12.52461446	1.06E-11	6.17E-13	7.77E-13	4.36E-14	9.10E-14	6.36E-13	1.55E-14	3.64E-15	7.42E-15
12.59785782	6.64E-12	6.30E-13	1.76E-13	3.88E-14	8.06E-14	5.80E-13	1.55E-14	5.00E-15	7.79E-15
12.67110118	3.03E-12	6.24E-13	1.65E-13	2.45E-14	9.84E-14	5.77E-13	1.97E-14	4.17E-15	1.54E-14
12.74434453	7.88E-12	1.02E-12	1.73E-13	3.15E-14	8.74E-14	5.38E-13	2.34E-14	3.46E-15	2.23E-14
12.81758789	1.82E-11	1.30E-12	1.33E-13	3.19E-14	3.37E-14	5.45E-13	2.71E-14	4.65E-15	2.22E-14
12.89083125	1.28E-11	1.15E-12	1.57E-13	7.94E-14	9.99E-14	3.64E-13	3.45E-14	5.62E-15	2.21E-14
12.96407461	1.09E-11	1.59E-12	1.58E-13	9.25E-14	1.00E-13	3.61E-13	6.61E-14	6.21E-15	2.48E-14
13.03731797	1.12E-11	1.47E-12	2.79E-13	7.82E-14	2.02E-13	6.82E-13	6.59E-14	7.27E-15	2.34E-14
13.11056133	5.42E-12	1.20E-12	3.30E-13	7.59E-14	3.29E-13	6.47E-13	5.71E-14	6.73E-15	1.89E-14
13.18380469	3.80E-12	1.64E-12	1.73E-13	6.85E-14	2.99E-13	9.42E-13	1.24E-13	5.96E-15	2.25E-14
13.25704805	3.97E-12	1.70E-12	3.16E-13	1.00E-13	1.53E-13	1.01E-12	1.65E-13	9.28E-15	2.97E-14
13.33029141	5.62E-12	2.31E-12	4.32E-13	1.38E-13	2.35E-13	4.96E-13	1.08E-13	6.99E-15	1.42E-14
13.40353477	3.49E-12	2.33E-12	2.18E-13	8.11E-14	1.56E-13	8.24E-13	6.50E-14	4.93E-15	1.38E-14
13.47677813	3.56E-12	1.47E-12	1.57E-13	6.31E-14	8.09E-14	7.58E-13	7.17E-14	5.99E-15	1.26E-14
13.55002149	2.04E-12	2.10E-12	3.99E-13	7.51E-14	1.23E-13	8.03E-13	1.12E-13	6.63E-15	1.66E-14
13.62326485	2.93E-12	1.47E-12	1.08E-12	6.86E-14	2.01E-13	1.80E-12	2.02E-13	8.02E-15	2.32E-14
13.69650821	3.44E-12	7.65E-13	4.68E-13	3.99E-14	1.34E-13	2.72E-12	1.21E-13	6.21E-15	2.20E-14
13.76975157	4.30E-12	7.85E-13	2.21E-13	2.31E-14	9.31E-14	2.51E-12	8.80E-14	5.00E-15	2.02E-14
13.84299493	3.08E-12	1.10E-12	3.66E-13	3.08E-14	6.47E-14	1.62E-12	7.49E-14	5.75E-15	1.82E-14
13.91623828	4.48E-12	1.15E-12	3.72E-13	4.04E-14	6.06E-14	2.48E-12	5.18E-14	8.38E-15	1.43E-14
13.98948164	4.61E-12	8.61E-13	3.76E-13	4.73E-14	6.89E-14	2.20E-12	3.60E-14	6.89E-15	8.26E-15
14.062725	2.27E-12	6.26E-13	2.88E-13	6.44E-14	5.27E-14	2.02E-12	4.26E-14	4.09E-15	2.84E-15
14.13596836	1.47E-12	5.77E-13	2.16E-12	3.81E-14	1.84E-13	2.59E-12	2.95E-14	1.04E-14	2.81E-15
14.20921172	2.16E-12	6.64E-13	3.85E-12	2.93E-14	5.30E-13	3.44E-12	1.87E-14	2.90E-14	5.68E-15
14.28245508	2.74E-12	5.87E-13	1.96E-12	5.57E-14	9.62E-14	3.16E-12	2.35E-14	1.10E-14	6.07E-15
14.35569844	3.11E-12	9.08E-13	6.23E-13	5.34E-14	6.45E-14	4.79E-12	1.46E-14	4.71E-15	8.54E-15
14.4289418	3.50E-12	8.84E-13	4.29E-13	2.74E-14	3.71E-14	6.58E-12	1.67E-14	3.54E-15	9.18E-15
14.50218516	4.81E-12	1.48E-12	4.69E-13	4.54E-14	5.55E-14	5.70E-12	9.29E-15	3.34E-15	4.60E-15
